00:02.154  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:17.572  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:18.053  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:18.566  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
[opaque] 1/450 episodes, 32 frames, 0.3 min, 1.81 fps
00:19.492  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:19.987  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:20.439  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:20.933  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:21.364  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:21.838  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:22.303  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:22.791  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:23.236  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:23.721  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:24.157  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:24.639  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:25.077  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:25.593  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:26.047  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:26.547  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:27.033  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:27.535  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:28.032  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:28.495  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:28.978  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:29.422  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:29.911  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:30.339  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:30.828  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:31.273  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:31.772  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:32.202  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:32.688  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:33.124  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:33.629  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:34.061  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:34.572  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:35.026  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:35.883  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:36.412  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:36.905  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:37.428  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:37.991  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:38.450  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:38.979  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:39.477  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:39.988  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:40.477  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:40.958  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:41.449  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:41.883  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:42.357  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:42.802  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:43.286  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:43.715  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:44.215  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:44.641  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:45.121  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:45.554  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:46.029  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:46.467  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:46.946  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:47.387  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:47.870  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:48.307  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:48.779  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:49.224  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:50.054  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:50.557  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:50.995  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:51.497  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:51.919  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:52.410  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:52.843  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:53.359  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:53.832  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:54.363  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:54.845  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:55.347  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:55.831  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:56.279  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:56.757  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:57.199  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:57.691  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:58.121  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:58.599  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:59.040  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:59.523  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
00:59.952  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:00.445  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:00.876  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:01.373  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:01.800  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:02.297  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:02.721  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:03.219  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:03.644  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:04.498  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:05.028  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:05.486  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:06.006  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:06.492  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:07.073  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:07.647  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:08.300  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:08.930  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:09.517  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:10.074  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:10.698  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:11.327  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:11.906  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:12.482  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:13.013  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:13.560  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:14.123  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:14.643  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:15.213  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:15.773  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:16.260  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:16.814  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:17.327  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:17.843  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:18.342  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:18.796  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:19.308  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:19.731  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:20.223  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:20.665  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:21.167  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:21.595  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:22.090  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:22.519  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:23.006  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:23.936  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:24.411  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:24.926  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:25.414  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:25.900  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:26.395  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:26.856  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:27.326  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:27.761  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:28.238  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:28.665  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:29.160  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:29.602  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:30.080  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:30.514  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:31.004  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:31.435  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:31.915  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:32.359  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:32.836  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:33.275  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:33.751  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:34.193  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:34.683  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:35.118  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:35.602  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:36.041  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:36.559  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:36.992  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:37.522  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:37.976  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:38.517  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:38.996  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:39.509  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:40.003  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:40.467  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:40.954  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:41.882  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:42.408  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:42.934  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:43.460  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:43.943  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:44.427  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:44.874  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:45.363  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:45.790  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:46.285  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:46.708  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:47.197  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:47.613  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:48.097  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:48.524  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:49.007  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:49.438  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:49.921  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:50.351  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:50.835  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:51.285  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:51.777  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:52.202  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:52.698  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:53.130  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:53.627  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:54.058  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:54.557  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:55.015  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:55.531  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:56.003  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:56.508  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:56.999  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:57.883  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:58.321  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:58.824  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:59.253  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
01:59.743  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:00.168  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:00.648  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:01.069  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:01.554  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:01.981  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:02.451  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:02.884  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:03.377  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:03.812  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:04.300  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:04.728  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:05.214  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:05.646  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:06.133  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:06.561  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:07.044  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:07.475  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:07.986  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:08.428  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:08.915  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:09.361  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:09.869  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:10.342  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:10.866  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:11.361  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:11.847  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:12.334  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:12.779  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:13.266  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:13.696  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:14.188  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:14.608  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:15.466  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:15.972  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:16.399  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:16.919  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:17.366  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:17.883  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:18.364  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:18.873  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:19.365  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:19.841  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:20.394  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:20.816  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:21.339  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:21.808  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:22.343  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:22.832  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:23.356  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:23.853  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:24.312  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:24.826  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:25.286  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:25.816  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:26.319  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:26.841  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:27.349  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:27.795  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:28.297  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:28.745  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:29.260  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:29.739  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:30.263  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:30.757  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:31.679  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:32.154  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:32.653  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:33.093  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:33.582  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:34.008  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:34.474  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:34.907  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:35.375  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:35.812  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:36.280  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:36.716  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:37.194  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:37.669  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:38.163  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:38.597  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:39.095  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:39.517  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:40.015  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:40.464  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:40.981  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:41.462  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:41.969  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:42.445  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:42.911  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:43.389  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:43.826  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:44.319  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:44.746  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:45.207  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:45.650  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:46.183  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:46.604  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:47.092  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:47.517  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:48.032  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:48.489  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:49.004  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:49.909  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:50.407  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:50.898  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:51.380  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:51.830  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:52.299  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:52.729  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:53.218  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:53.656  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
02:54.132  render           | Saved: '/tmp/clearvla_render_opaque_wrist_11342.png'
